YEAR,Day,SolarRadiation,Temperature,Humidity,WindSpeed
2024,1,7.22,12.19,59.47,1.31
2024,2,8.77,12.34,56.57,1.35
2024,3,3.99,13.09,45.68,1.03
2024,4,2.09,11.26,60.43,1
2024,5,2.5,11.51,68.29,0.96
2024,6,4.94,11.67,69.21,0.83
2024,7,6.79,11.21,72.18,0.99
2024,8,5.24,13.99,57.67,0.92
2024,9,3.44,13.13,58.17,1.01
2024,10,10.39,11.66,55.33,2.47
2024,11,11.69,10.61,53.14,1.97
2024,12,11.54,11.2,47.98,1.94
2024,13,8.72,12.81,42.54,1.41
2024,14,9.26,11.84,43.3,1.74
2024,15,11.73,11.46,45.32,1.39
2024,16,6.07,12.15,43.45,1.21
2024,17,10.06,12,42.26,1.46
2024,18,7.25,12.41,45.61,0.91
2024,19,3.97,12.52,49.3,0.98
2024,20,8.01,12.29,49.95,0.93
2024,21,8.98,11.12,53.01,2.14
2024,22,9.7,11.83,38.7,1.06
2024,23,8.03,13.07,39.27,1.41
2024,24,8.62,12.49,45.28,1.15
2024,25,8.56,12.77,45.75,0.93
2024,26,10.01,14.99,38.05,0.81
2024,27,14.56,14.78,38.48,2.35
2024,28,6.63,14.25,44.64,1.39
2024,29,10.96,15.37,44.84,1.24
2024,30,6.87,16.16,42.92,0.89
2024,31,5.84,16.08,50.07,1.18
2024,32,8.08,14.26,73.16,2.74
2024,33,12.6,13.83,57.25,2.12
2024,34,11.33,15.72,39.92,1.96
2024,35,6.43,15.03,83.36,1.21
2024,36,10.83,15.45,66.77,1.7
2024,37,16.54,12.68,41.28,2.51
2024,38,14.41,12.76,41.85,2.85
2024,39,17.18,12.51,42.24,3.74
2024,40,18.5,14.35,35.15,1.73
2024,41,17.04,15.69,33.51,0.83
2024,42,15.6,15.07,42.52,1.2
2024,43,10.92,16.91,40.35,0.81
2024,44,10.26,17.65,34.89,0.78
2024,45,14.17,16.78,41.28,1.32
2024,46,15.89,16.76,45.43,1.49
2024,47,16.99,16.74,37.97,1.47
2024,48,18.19,17.34,33.27,1.95
2024,49,15.66,19.55,30.47,1.57
2024,50,14.25,19.88,37.77,3
2024,51,13.78,20.6,55.19,1.28
2024,52,15.81,17.72,35.78,1.76
2024,53,18.15,17.08,35.52,1.84
2024,54,19.84,15.79,38.54,2
2024,55,16.62,17.01,33.89,1.41
2024,56,16.12,17.31,31.93,1.48
2024,57,12.56,18.28,33.2,2.09
2024,58,14.87,17.51,50,2.39
2024,59,20.13,18.15,46.72,2.65
2024,60,20.96,18.77,37.17,2.17
2024,61,15.59,22.17,36.53,1.45
2024,62,13.75,20.11,60.49,3.42
2024,63,12.65,18.56,69.75,1.61
2024,64,21.36,15.19,37.01,2.06
2024,65,20.49,14.65,31.26,2.54
2024,66,18.07,15.48,33.17,2.17
2024,67,20.76,17.8,36.77,1.95
2024,68,20.31,18.99,37.41,2.18
2024,69,22.04,18.67,37.46,2.49
2024,70,18.62,19.97,35.94,1.56
2024,71,20.99,22.55,31.04,1.17
2024,72,20.38,23.13,34.67,1.79
2024,73,19.56,23.08,34.57,1.97
2024,74,20.61,22.51,35.78,1.86
2024,75,22.99,21.98,34.23,2.7
2024,76,21.27,20.45,28.67,1.44
2024,77,19.9,21.4,26.27,1.48
2024,78,23.28,22.64,28.43,1.8
2024,79,22.31,23.29,28.31,1.8
2024,80,22.52,25.53,22.49,1.18
2024,81,20.81,21.9,28.5,1.94
2024,82,21.91,24.74,29.4,1.65
2024,83,22.99,26.75,26.44,2.92
2024,84,12.46,24.62,27.57,1.89
2024,85,23.74,25.92,27.19,2.79
2024,86,19.18,27.34,27.25,2.21
2024,87,18.12,30.05,25.42,1.96
2024,88,19.67,30.98,30.71,1.85
2024,89,19.47,31.17,32.97,1.17
2024,90,21.84,29.96,28.77,2.33
2024,91,23.5,28.6,23.42,2.4
2024,92,20.76,26.08,29.61,3.49
2024,93,23.79,26.81,19.34,2.86
2024,94,20.46,29.08,21.1,1.04
2024,95,21.98,29.96,18.97,1.7
2024,96,18.34,28.79,21.31,2.74
2024,97,23.53,27.68,19.14,2.41
2024,98,26.47,27.9,15.37,2.38
2024,99,25.32,29.41,15.81,2.06
2024,100,21.28,29.36,14.78,1.79
2024,101,23.23,30.48,15.94,1.41
2024,102,20.64,31.24,26.16,0.89
2024,103,21.37,32.24,22.34,1.28
2024,104,16.3,31.84,25.95,2.08
2024,105,12.68,30.38,32.53,1.52
2024,106,15.42,29.51,38.01,1.73
2024,107,24.06,30.15,34.11,3.52
2024,108,25.59,29.82,23.79,4.43
2024,109,25.15,31.08,23.83,3.05
2024,110,23.39,32.13,25.42,2.75
2024,111,24.4,30.83,22.4,2.75
2024,112,22.21,31.4,26.13,2.93
2024,113,24.2,31.99,24.93,2.77
2024,114,23.33,32.37,17.73,1.66
2024,115,26.15,31.17,21.97,2.47
2024,116,26.38,32.36,19.62,2.96
2024,117,23.9,33.79,19.33,1.76
2024,118,23.73,33.55,20.07,2.87
2024,119,22.8,32.18,23.06,1.99
2024,120,24.6,33.26,22.98,2.98
2024,121,27.27,30.33,21.9,3.07
2024,122,25.59,27.77,19.07,3.88
2024,123,27.68,28.64,18.53,2.84
2024,124,24.9,31.32,15.05,3.25
2024,125,23.59,33.94,15.78,2.26
2024,126,26.38,34.47,20.69,2.7
2024,127,25.55,34.93,20.65,2.59
2024,128,23.74,35.9,19.19,1.28
2024,129,24,35.02,19.31,2.3
2024,130,24.82,33.19,28.64,2.53
2024,131,23.29,34.37,27.33,2.14
2024,132,23.71,34.35,29.22,1.91
2024,133,22.62,34.88,24.38,1.89
2024,134,21.33,34.96,20.55,1.72
2024,135,25.32,34.47,15.96,2.4
2024,136,26.12,35.3,11.8,1.97
2024,137,25.51,36.64,12.45,1.6
2024,138,24.31,38.49,14.11,1.91
2024,139,25.17,38.45,15.12,2.5
2024,140,25.01,38.84,17.41,2.93
2024,141,24.67,39.07,16.48,3.04
2024,142,25.32,37.88,14.96,1.78
2024,143,24.34,37.36,18.14,2.3
2024,144,24.15,36.76,29.06,3.59
2024,145,24.11,36.74,30.24,2.46
2024,146,24.07,38.26,23.1,2.43
2024,147,27.17,39.23,16.72,2.66
2024,148,26.52,39.37,15.79,2.17
2024,149,28.27,40.32,9.69,1.97
2024,150,25.76,39.82,11.16,2.28
2024,151,26.98,39.49,13.15,3.18
2024,152,26.4,39.45,9.84,2.58
2024,153,19.92,38.63,15.77,2.59
2024,154,25.14,38.73,21.53,2.06
2024,155,24.82,39.2,18.55,3.03
2024,156,21.76,39.51,18.85,2.3
2024,157,23.2,38.81,21.15,3.06
2024,158,24.88,37.27,22.79,2.31
2024,159,23.87,37.43,26.29,3.31
2024,160,22.96,37.64,24.29,3.87
